pedon,horizon,subdivision,top cm,base cm,thick,major_color,hue,value,chroma,minor_color,depletion,concentration,texture_modifier,texture_base,structure,consistence,boundary,frags,roots,sample collected,elemental
52_3_X3.1,BC,,55,75,20,10YR4/4,10YR,4,4,5YR2.5/2,,,,ls,2msbk,fr, ,15, ,Y,Y
52_3_X3.1,D,1,105,120,15,,,,,,,,,,,,,,,Y,Y
52_3_X3.1,D,2,160,180,20,,,,,,,,,,,,,,,Y,Y
52_3_X3.1,D,3,280,300,20,,,,,,,,,,,,,,,Y,Y
52_4_PFM,Oi,,0,5,5,5YR2.5/1,5YR,2.5,1,,,,, , , , ,0, ,?,
52_4_PFM,Oe,,5,10,5,5YR2.5/1,5YR,2.5,1,,,,, , , , ,0, ,?,
52_4_PFM,Oa,,10,15,5,7.5YR2.5/1,7.5YR,2.5,1,0,,,, ,2mgr, ,cs,0,m,Y,
52_4_PFM,Bh1,,15,32,17,10YR3/1,10YR,3,1,0,,,,sl,2msbk,fr,cs,2,c,Y,Y
52_4_PFM,Bh2,,32,63,31,10YR3/2,10YR,3,2,0,,,,sl,2msbk,fr,cs,2,f,Y,Y
52_4_PFM,BC,,63,72,9,10YR4/3,10YR,4,3,0,,,,ls,1msbk,fr, ,5, ,Y,
52_4_X4.1,Oi,,0,4,4,5YR2.5/1,5YR,2.5,1,,,,,, , , ,0, ,Y,
52_4_X4.1,Oe,,4,9,5,5YR2.5/1,5YR,2.5,1,,,,,, , , ,0, ,Y,
52_4_X4.1,Oa,,9,16,7,5YR2.5/1,5YR,2.5,1,,,,,,1mgr, ,ab,0, ,Y,Y
52_4_X4.1,E,,16,26,10,7.5YR4/2,7.5YR,4,2,7.5YR3/2,,,,sl,2msbk,fr,aw,2,f,Y,Y
52_4_X4.1,Bhs,,26,31,5,7.5YR2.5/1,7.5YR,2.5,1,0,,,,sl,2msbk,fr,aw,5,f,Y,Y
52_4_X4.1,Bs1,,31,36,5,7.5YR3/4,7.5YR,3,4,"7.5YR2.5/1, 7.5YR4/6",,,,sl,2msbk,fi,cw,10, ,Y,Y
52_4_X4.1,Bs2,1,36,45,9,7.5YR2.5/2,7.5YR,2.5,2,7.5YR3/3,,,,sl,2msbk,fr,cs,5, ,Y,Y
52_4_X4.1,Bs2,2,45,54.5,9.5,7.5YR2.5/2,7.5YR,2.5,2,7.5YR3/3,,,,sl,2msbk,fr,cs,5, ,Y,Y
52_4_X4.1,BC,1,54.5,62,7.5,10YR3/4,10YR,3,4,2.5Y4/4,,,,sl,2msbk,fr, ,25, ,Y,Y
52_4_X4.1,BC,2,62,69,7,10YR3/4,10YR,3,4,2.5Y4/4,,,,sl,2msbk,fr, ,25, ,Y,Y
52_4_X4.1,C,1,75,85,10,10YR4/4,10YR,4,4,0,,,gr,ls, , , ,, ,Y,
52_4_X4.1,C,2,85,95,10,10YR4/2,10YR,4,2,0,,,gr,s, , , ,, ,Y,
52_4_X4.1,D,3,109,111,2,10YR5/2,10YR,5,2,0,,,vgr,s, , , ,, ,Y,Y
52_4_X4.1,D,4,112,122,10,10YR5/2,10YR,5,2,0,,,gr,s, , , ,, ,Y,
52_4_X4.1,D,5,126,134,8,10YR5/2,10YR,5,2,0,,,,ls, , , ,, ,Y,
