ID,Pedon,Horizon,R,Acquisition Time,QC Status,Dataset File,Method File,Y_mgL,Ca_mgL,P_mgL,K_mgL,Mg_mgL,Na_mgL,Al_mgL,Fe_mgL,Mn_mgL,Extraction Lab,Ca_mgKg,Ca_cmolKg,Na_mgKg,Na_cmolKg,Mg_mgKg,Mg_cmolKg,K_mgKg,K_cmolKg,Al_mgKg,Al_cmolKg,P_mgKg,Fe_mgKg,Mn_mgKg,CEC_cmolKg
55,52_3_X3.1,BC.1,NA,6/3/21 17:27,NA,HB Mod Morgan 6-3-21b,Soil Modified Morgan,4.849406334,0.594039034,0.172974174,0.610451751,0.088612238,0.202557567,52.37610694,0.797977866,0.021414185,VT,2.970195169,0.014821333,1.012787833,0.004405341,0.443061188,0.003646594,3.052258755,0.007806288,261.8805347,2.911940712,0.864870868,3.989889328,0.107070923,0.030679556
56,52_3_X3.1,BC.2,NA,6/3/21 17:31,NA,HB Mod Morgan 6-3-21b,Soil Modified Morgan,4.676039343,0.345093054,0.152086614,0.353970281,0.033012545,0.123084343,39.00627216,0.552254688,0.011845959,VT,1.725465269,0.008610106,0.615421715,0.00267691,0.165062726,0.001358541,1.769851403,0.004526474,195.0313608,2.168621507,0.76043307,2.761273439,0.059229796,0.017172032
57,52_3_X3.1,D.1,NA,6/3/21 17:35,NA,HB Mod Morgan 6-3-21b,Soil Modified Morgan,5.321196847,6.797091296,0.151992917,7.510021464,2.283683918,2.091225037,9.364956869,3.021403029,1.44043254,VT,33.98545648,0.169588106,10.45612519,0.045481188,11.41841959,0.093978762,37.55010732,0.09603608,46.82478435,0.520661056,0.759964586,15.10701515,7.2021627,0.405084137
58,52_3_X3.1,D.3,NA,6/3/21 17:38,NA,HB Mod Morgan 6-3-21b,Soil Modified Morgan,4.994860683,4.346758216,0.176071323,1.141239038,0.79181036,0.795996918,1.153418445,0.94730874,0.394227612,VT,21.73379108,0.108452051,3.979984592,0.017311808,3.959051799,0.032584788,5.706195188,0.01459385,5.767092226,0.064126303,0.880356613,4.7365437,1.97113806,0.172942497
59,52_2_X2.1,E1.1,NA,6/3/21 17:41,NA,HB Mod Morgan 6-3-21b,Soil Modified Morgan,4.850168182,0.62438697,0.762845738,2.131816655,0.58598783,0.18563268,6.593935229,3.624838753,0.210115065,VT,3.121934849,0.015578517,0.928163399,0.004037248,2.929939151,0.024114726,10.65908328,0.027261083,32.96967614,0.366601291,3.814228691,18.12419377,1.050575327,0.070991574
60,52_2_X2.1,E1.2,NA,6/3/21 17:45,NA,HB Mod Morgan 6-3-21b,Soil Modified Morgan,4.607161673,0.600488408,0.616267647,10.51300959,0.404120258,0.15945176,7.355033299,3.074289195,0.149922072,VT,3.002442039,0.014982246,0.797258802,0.00346785,2.020601292,0.016630463,52.56504796,0.134437463,36.77516649,0.408915862,3.081338236,15.37144598,0.749610361,0.169518022
61,52_2_X2.1,E2,NA,6/3/21 17:52,NA,HB Mod Morgan 6-3-21b,Soil Modified Morgan,4.960859397,0.332102378,0.364102275,0.601713061,0.14426139,0.121533198,6.610203837,2.081868014,0.090936015,VT,1.660511889,0.008285987,0.60766599,0.002643175,0.721306951,0.005936683,3.008565305,0.00769454,33.05101919,0.367505773,1.820511377,10.40934007,0.454680074,0.024560386
62,42_2_V2.1,Oa,NA,6/3/21 17:56,NA,HB Mod Morgan 6-3-21b,Soil Modified Morgan,4.384019583,7.140191799,4.102085908,13.12010919,2.919160324,2.18505625,3.403428089,7.720116591,NA,VT,35.70095899,0.178148498,10.92528125,0.047521885,14.59580162,0.120130054,65.60054593,0.167776332,17.01714044,0.189219501,20.51042954,38.60058296,NA,0.513576769
63,42_2_V2.1,E.1,NA,6/3/21 17:59,NA,HB Mod Morgan 6-3-21b,Soil Modified Morgan,4.654063514,0.834292078,0.876734439,1.965014689,0.495803096,0.221243015,5.303122356,2.612525431,2.862775686,VT,4.171460391,0.020815671,1.106215075,0.004811723,2.479015478,0.02040342,9.825073443,0.025128065,26.51561178,0.294836306,4.383672197,13.06262716,14.31387843,0.071158878
65,42_2_V2.1,E.2,NA,6/3/21 18:07,NA,HB Mod Morgan 6-3-21b,Soil Modified Morgan,4.785019244,0.303522239,0.762326116,0.830540417,0.221569057,0.173291267,10.80829129,2.627871324,0.500567684,VT,1.517611197,0.00757291,0.866456334,0.00376884,1.107845284,0.009118068,4.152702083,0.010620721,54.04145646,0.600905743,3.811630578,13.13935662,2.502838419,0.03108054
66,42_2_V2.1,E.3,NA,6/3/21 18:10,NA,HB Mod Morgan 6-3-21b,Soil Modified Morgan,4.926160422,0.256496113,1.084616347,1.007193578,0.286215605,0.181124242,13.84645187,4.890379531,0.797036452,VT,1.282480564,0.006399604,0.905621212,0.003939196,1.431078023,0.01177842,5.035967888,0.012879713,69.23225936,0.769817561,5.423081736,24.45189766,3.985182258,0.034996933
67,42_2_V2.1,E.4,NA,6/3/21 18:14,NA,HB Mod Morgan 6-3-21b,Soil Modified Morgan,4.693764839,0.279969223,1.028798046,0.912332556,0.237031865,0.153382539,10.05292608,4.231445377,0.797964221,VT,1.399846117,0.00698526,0.766912694,0.003335853,1.185159323,0.009754398,4.561662782,0.011666657,50.2646304,0.558909901,5.14399023,21.15722689,3.989821103,0.031742168
68,86_3_W3.2,Oa,NA,6/3/21 18:18,NA,HB Mod Morgan 6-3-21b,Soil Modified Morgan,4.464236529,58.29120753,2.445991561,27.15959507,17.2365006,2.014496911,10.73960011,0.812470194,3.365028469,VT,291.4560376,1.454371445,10.07248455,0.04381246,86.18250299,0.709321012,135.7979753,0.3473094,53.69800053,0.597086737,12.2299578,4.062350969,16.82514235,2.554814317
69,86_3_W3.2,A,NA,6/3/21 18:21,NA,HB Mod Morgan 6-3-21b,Soil Modified Morgan,4.75368019,8.267160541,0.781810389,6.534175773,3.284554927,0.65466963,28.78371636,21.24652995,0.343184459,VT,41.33580271,0.206266481,3.273348148,0.014238139,16.42277464,0.135166869,32.67087886,0.083557235,143.9185818,1.600280747,3.909051944,106.2326497,1.715922295,0.439228724
71,86_3_W3.2,Bhs2.1,NA,6/3/21 18:25,NA,HB Mod Morgan 6-3-21b,Soil Modified Morgan,4.824323028,2.188030914,0.472257571,2.864099959,1.010340257,0.309460668,34.94335918,18.71296373,0.108533375,VT,10.94015457,0.05459159,1.54730334,0.006730332,5.051701285,0.041577788,14.32049979,0.036625319,174.7167959,1.942736797,2.361287855,93.56481865,0.542666875,0.139525029
72,86_3_W3.2,Bhs2.2,NA,6/3/21 18:28,NA,HB Mod Morgan 6-3-21b,Soil Modified Morgan,4.723367186,2.548731331,0.912893082,4.412216725,1.343033193,0.397804566,71.94655509,36.44618772,0.182971343,VT,12.74365665,0.063591101,1.98902283,0.008651687,6.715165965,0.055268856,22.06108362,0.056422209,359.7327755,3.999993797,4.564465412,182.2309386,0.914856716,0.183933852
