"","Lab_id","pedon","horizon","Mn_mgL","Fe_mgL","Ca_mgL","K_mgL","Na_mgL","Mg_mgL","P_mgL","S_mgL","Ca_mgKg","Na_mgKg","Mg_mgKg","K_mgKg","P_mgKg"
"121","121","42_3_V3.1","BC1",-99.99,1.351,0.598,0.133,-99.99,-99.99,1.789,1.431,5.98,-999.9,-999.9,1.33,17.89
"122","122","42_3_V3.1","BC2",-99.99,0.987,0.57,-99.99,-99.99,-99.99,1.471,1.338,5.7,-999.9,-999.9,-999.9,14.71
"123","123","42_3_V3.1","D1",-99.99,0.707,0.411,-99.99,-99.99,-99.99,1.12,0.903,4.11,-999.9,-999.9,-999.9,11.2
"124","124","42_3_V3.1","D5",-99.99,0.796,0.405,0.891,-99.99,-99.99,0.437,0.838,4.05,-999.9,-999.9,8.91,4.37
"125","125","42_3_V3.1","D10",0.238,1.873,1.018,5.148,0.711,-99.99,0.693,1.113,10.18,7.11,-999.9,51.48,6.93
"126","126","86_2_W2.2","Oa",1.117,0.141,54.842,29.765,1.946,31.618,3.169,6.377,548.42,19.46,316.18,297.65,31.69
"127","127","86_2_W2.2","E1",-99.99,0.245,0.591,-99.99,-99.99,-99.99,0.819,0.586,5.91,-999.9,-999.9,-999.9,8.19
"128","Blank",NA,NA,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,0.295,0.3,-999.9,-999.9,-999.9,-999.9,2.95
"129","129","86_2_W2.2","E2",-99.99,0.58,0.698,-99.99,-99.99,-99.99,0.772,0.557,6.98,-999.9,-999.9,-999.9,7.72
"130","130","86_4_W4.1","Bs3",-99.99,1.433,1.712,1.667,0.311,-99.99,0.546,1.754,17.12,3.11,-999.9,16.67,5.46
"131","131","52_4_PFM","Oa",0.527,5.27,4.944,22.893,3.284,7.496,4.56,8.152,49.44,32.84,74.96,228.93,45.6
"132","132","99",NA,5.335,6.248,1.15,4.767,0.244,-99.99,2.992,2.781,11.5,2.44,-999.9,47.67,29.92
