...1,Pedon,Horizon,R,Acquisition Time,QC Status,Dataset File,Method File,Y_mgL,Ca_mgL,P_mgL,K_mgL,Mg_mgL,Na_mgL,Al_mgL,Fe_mgL,Mn_mgL,Extraction Lab,Ca_mgKg,Ca_cmolKg,Na_mgKg,Na_cmolKg,Mg_mgKg,Mg_cmolKg,K_mgKg,K_cmolKg,Al_mgKg,Al_cmolKg,P_mgKg,CEC_cmolKg
46,52_3_X3.1,E,NA,6/3/21 17:05,NA,HB Mod Morgan 6-3-21b,Soil Modified Morgan,4.774336163,0.831287469,0.332404691,2.370591787,0.659717096,0.164504571,10.27815668,2.120885221,0.08153309,VT,8.312874691,0.041481411,1.645045709,0.007155484,6.597170963,0.054297703,23.70591787,0.060628946,102.7815668,1.142863975,3.324046908,0.163563544
47,52_3_X3.1,Bhs1,NA,6/3/21 17:09,NA,HB Mod Morgan 6-3-21b,Soil Modified Morgan,4.761553508,1.818335659,0.757064041,6.634862521,1.880551116,0.413616439,47.46698532,26.13784568,0.256126789,VT,18.18335659,0.090735312,4.136164393,0.017991146,18.80551116,0.15477787,66.34862521,0.169689579,474.6698532,5.278019123,7.570640409,0.433193906
48,52_3_X3.1,Bhs2.1,NA,6/3/21 17:12,NA,HB Mod Morgan 6-3-21b,Soil Modified Morgan,4.935718797,1.496506189,0.056634789,4.614200495,1.307923442,0.517585357,45.00055018,13.40511304,0.29637214,VT,14.96506189,0.074675958,5.175853573,0.0225135,13.07923442,0.10764802,46.14200495,0.118010243,450.0055018,5.003767625,0.566347886,0.32284772
49,52_3_X3.1,Bhs2.2,NA,6/3/21 17:16,NA,HB Mod Morgan 6-3-21b,Soil Modified Morgan,4.723847505,1.008424982,0.068180878,3.194323107,0.76467186,0.508330498,42.73441195,5.462406931,0.180867727,VT,10.08424982,0.050320608,5.083304985,0.022110939,7.646718605,0.062935956,31.94323107,0.081696243,427.3441195,4.751787837,0.681808782,0.217063746
50,52_3_X3.1,Bhs2.3,NA,6/3/21 17:20,NA,HB Mod Morgan 6-3-21b,Soil Modified Morgan,4.68683864,1.104254979,0.107574084,2.234122654,0.494294713,0.274232822,70.02363885,2.848598342,0.185871469,VT,11.04254979,0.055102544,2.742328219,0.011928352,4.942947126,0.040682692,22.34122654,0.057138687,700.2363885,7.786171851,1.075740837,0.164852275
52,52_3_X3.1,BC.1,NA,6/3/21 17:27,NA,HB Mod Morgan 6-3-21b,Soil Modified Morgan,4.849406334,0.677807401,-0.020177952,1.175763584,0.221315685,0.143006873,53.63835721,0.8005658,0.017820781,VT,6.778074007,0.033822725,1.430068726,0.006220395,2.213156848,0.018215283,11.75763584,0.03007068,536.3835721,5.964235419,-0.201779517,0.088329082
53,52_3_X3.1,BC.2,NA,6/3/21 17:31,NA,HB Mod Morgan 6-3-21b,Soil Modified Morgan,4.676039343,0.428861421,-0.041065511,0.919282113,0.165715992,0.063533649,40.26852243,0.554842622,0.008252556,VT,4.288614207,0.02140027,0.635336489,0.002763534,1.657159923,0.013639176,9.192821134,0.023511051,402.6852243,4.477597008,-0.410655114,0.061314032
54,52_3_X3.1,D.1,NA,6/3/21 17:35,NA,HB Mod Morgan 6-3-21b,Soil Modified Morgan,5.321196847,6.880859663,-0.041159208,8.075333296,2.416387366,2.031674343,10.62720714,3.023990964,1.436839137,VT,68.80859663,0.343356271,20.31674343,0.08837209,24.16387366,0.198879619,80.75333296,0.206530263,106.2720714,1.181676108,-0.411592082,0.837138242
55,52_3_X3.1,D.3,NA,6/3/21 17:38,NA,HB Mod Morgan 6-3-21b,Soil Modified Morgan,4.994860683,4.430526583,-0.017080803,1.70655087,0.924513807,0.736446224,2.415668711,0.949896674,0.390634209,VT,44.30526583,0.221084161,7.364462243,0.032033329,9.24513807,0.076091671,17.0655087,0.043645802,24.15668711,0.268606602,-0.170808027,0.372854963
56,52_2_X2.1,E1.1,NA,6/3/21 17:41,NA,HB Mod Morgan 6-3-21b,Soil Modified Morgan,4.850168182,0.708155337,0.569693613,2.697128488,0.718691277,0.126081986,7.856185495,3.627426687,0.206521662,VT,7.081553367,0.035337093,1.260819857,0.00548421,7.186912774,0.059151545,26.97128488,0.068980268,78.56185495,0.873556578,5.696936129,0.168953116
57,52_2_X2.1,E1.2,NA,6/3/21 17:45,NA,HB Mod Morgan 6-3-21b,Soil Modified Morgan,4.607161673,0.684256775,0.423115522,11.07832142,0.536823706,0.099901066,8.617283565,3.07687713,0.146328669,VT,6.842567746,0.03414455,0.999010664,0.004345414,5.368237056,0.044183021,110.7832142,0.283333029,86.17283565,0.958185719,4.231155218,0.366006013
59,52_2_X2.1,E2,NA,6/3/21 17:52,NA,HB Mod Morgan 6-3-21b,Soil Modified Morgan,4.960859397,0.415870745,0.17095015,1.167024894,0.276964837,0.061982504,7.872454103,2.084455948,0.087342612,VT,4.158707448,0.020752033,0.61982504,0.002696064,2.769648374,0.02279546,11.67024894,0.029847184,78.72454103,0.875365541,1.7095015,0.076090741
60,42_2_V2.1,Oa,NA,6/3/21 17:56,NA,HB Mod Morgan 6-3-21b,Soil Modified Morgan,4.384019583,7.223960166,3.908933783,13.68542102,3.051863771,2.125505556,4.665678354,7.722704525,NA,VT,72.23960166,0.360477054,21.25505556,0.092453482,30.51863771,0.251182203,136.8542102,0.350010768,46.65678354,0.518792997,39.08933783,1.054123507
61,42_2_V2.1,E.1,NA,6/3/21 17:59,NA,HB Mod Morgan 6-3-21b,Soil Modified Morgan,4.654063514,0.918060445,0.683582314,2.530326522,0.628506543,0.161692321,6.565372621,2.615113365,2.859182283,VT,9.180604452,0.045811399,1.616923209,0.007033159,6.285065427,0.051728934,25.30326522,0.064714233,65.65372621,0.730026607,6.83582314,0.169287725
63,42_2_V2.1,E.2,NA,6/3/21 18:07,NA,HB Mod Morgan 6-3-21b,Soil Modified Morgan,4.785019244,0.387290606,0.56917399,1.395852249,0.354272504,0.113740573,12.07054156,2.630459258,0.496974281,VT,3.872906064,0.019325879,1.137405728,0.004947393,3.542725039,0.029158231,13.95852249,0.035699546,120.7054156,1.342165481,5.691739902,0.089131049
64,42_2_V2.1,E.3,NA,6/3/21 18:10,NA,HB Mod Morgan 6-3-21b,Soil Modified Morgan,4.926160422,0.34026448,0.891464222,1.572505411,0.418919052,0.121573548,15.10870214,4.892967466,0.793443049,VT,3.402644796,0.016979265,1.215735483,0.005288106,4.189190517,0.034478934,15.72505411,0.04021753,151.0870214,1.679989118,8.914642218,0.096963835
65,42_2_V2.1,E.4,NA,6/3/21 18:14,NA,HB Mod Morgan 6-3-21b,Soil Modified Morgan,4.693764839,0.36373759,0.835645921,1.477644389,0.369735312,0.093831845,11.31517635,4.234033311,0.794370817,VT,3.637375903,0.018150578,0.938318448,0.00408142,3.697353118,0.03043089,14.77644389,0.037791417,113.1517635,1.258173797,8.356459205,0.090454305
