pedon.x,orig_horizon,subdivision,horizon.x,top cm,base cm,thick,major_color,hue,value,chroma,minor_color,depletion,concentration,texture_modifier,texture_base,structure,consistence,boundary,frags,roots,sample collected,elemental,ID,pH,C_pct,N_pct,CNRatio,om_pct,om,bd,Ca_cmolKg,Na_cmolKg,Mg_cmolKg,K_cmolKg,Al_cmolKg,P_mgKg,Fe_mgKg,Mn_mgKg,CEC_cmolKg
42_3_V3.2,Oe,NA,Oe,1,3,2,5YR2.5/1,5YR,2.5,1,NA,NA,NA,NA,NA,NA,NA,NA,0,m,Y,NA,42_3_V3.2 Oe,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42_3_V3.2,Oa,NA,Oa,3,5.5,2.5,5YR2.5/1,5YR,2.5,1,NA,NA,NA,NA,NA,NA,NA,cs,0,c,Y,NA,42_3_V3.2 Oa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42_3_V3.2,A,NA,A,5.5,13,7.5,7.5YR2.5/1,7.5YR,2.5,1,0,NA,NA,NA,sl,2msbk,vfr,cs,0,c,Y,NA,42_3_V3.2 A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42_3_V3.2,Bhs1,NA,Bhs1,13,35,22,7.5YR2.5/1,7.5YR,2.5,1,0,NA,NA,NA,sl,2msbk,fr,cs,0,f,Y,NA,42_3_V3.2 Bhs1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42_3_V3.2,Bhs2,NA,Bhs2,35,59,24,7.5YR2.5/2,7.5YR,2.5,2,0,NA,NA,NA,sl,2msbk,fr,cw,1,0,Y,NA,42_3_V3.2 Bhs2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42_3_V3.2,Bhs3,NA,Bhs3,59,74,15,5YR2.5/2,5YR,2.5,2,5YR3/4,NA,NA,NA,sl,2msbk,fr,as,2,0,Y,NA,42_3_V3.2 Bhs3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42_3_V3.2,Bsm,NA,Bsm,74,90,16,7.5YR3/4,7.5YR,3,4,7.5YR3/3,NA,NA,NA,sl,2msbk,fi,NA,10,0,Y,NA,42_3_V3.2 Bsm,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42_4_PFM,Oi,NA,Oi,0,5.5,5.5,5YR2.5/1,5YR,2.5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,?,NA,42_4_PFM Oi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42_4_PFM,Oe,NA,Oe,5.5,7.5,2,5YR2.5/1,5YR,2.5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,?,NA,42_4_PFM Oe,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42_4_PFM,Oa,NA,Oa,7.5,9,1.5,5YR2.5/1,5YR,2.5,1,0,NA,NA,NA,NA,1mgr,fr,ab,2,c,Y,NA,42_4_PFM Oa,NA,NA,NA,NA,NA,NA,NA,1.239,0.023,0.413,0.288,0.232,29.775,11.329,32.456,1.964
42_4_PFM,E,NA,E,9,11.5,2.5,10YR4/2,10YR,4,2,0,NA,NA,NA,sl,2msbk,fr,aw,2,f,Y,Y,42_4_PFM E,3.08,2.35538,0.14739,15.98049,4.06067,0.04061,0.97326,0.073,0.01,0.04,0.051,0.171,4.168,8.866,1.245,0.175
42_4_PFM,Bhs1,NA,Bhs1,11.5,16,4.5,5YR2.5/2,5YR,2.5,2,0,NA,NA,NA,sl,2msbk,fr,cs,2,f,Y,Y,42_4_PFM Bhs1,3.24,6.59048,0.39161,16.82936,11.36198,0.11362,0.61166,0.061,0.023,0.099,0.099,1.404,8.466,277.109,1.813,0.282
42_4_PFM,Bhs2,NA,Bhs2,16,36,20,7.5YR3/3,7.5YR,3,3,0,NA,NA,NA,sl,2msbk,fr,gs,10,0,Y,Y,42_4_PFM Bhs2,3.65,5.51528,0.29821,18.49449,9.50834,0.09508,0.67536,0.04,0.009,0.038,0.06,2.52,4.264,73.786,1.713,0.148
42_4_PFM,Bh,NA,Bh,36,45,9,10YR3/3,10YR,3,3,0,NA,NA,NA,sl,2msbk,fr,as,10,0,Y,Y,42_4_PFM Bh,4.1,3.15484,0.15214,20.73594,5.43894,0.05439,0.87555,0.024,0.006,0.009,0.02,1.703,2.091,7.99,0.858,0.058
42_4_PFM,BC,NA,BC,45,50.5,5.5,10YR4/4,10YR,4,4,0,NA,NA,NA,sl,2msbk,fr,NA,10,0,Y,Y,42_4_PFM BC,4.18,3.13899,0.1493,21.02515,5.41162,0.05412,0.8773,0.019,0.005,0.005,0.013,1.209,1.758,4.253,0.453,0.041
42_4_V4.1,Oi,NA,Oi,0,3,3,5YR2.5/1,5YR,2.5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,NA,42_4_V4.1 Oi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
