ID,Pedon,Horizon,R,Acquisition Time,QC Status,Dataset File,Method File,Y_mgL,Ca_mgL,P_mgL,K_mgL,Mg_mgL,Na_mgL,Al_mgL,Fe_mgL,Mn_mgL,Extraction Lab,Ca_mgKg,Ca_cmolKg,Na_mgKg,Na_cmolKg,Mg_mgKg,Mg_cmolKg,K_mgKg,K_cmolKg,Al_mgKg,Al_cmolKg,P_mgKg,Fe_mgKg,Mn_mgKg,CEC_cmolKg
57,52_3_X3.1,D.1,NA,6/3/21 17:35,NA,HB Mod Morgan 6-3-21b,Soil Modified Morgan,5.321196847,6.797091296,0.151992917,8.075333296,2.283683918,2.091225037,9.364956869,3.021403029,1.44043254,VT,67.97091296,0.339176212,20.91225037,0.090962377,22.83683918,0.187957524,80.75333296,0.206530263,93.64956869,1.041322113,1.519929172,30.21403029,14.4043254,0.824626376
58,52_3_X3.1,D.3,NA,6/3/21 17:38,NA,HB Mod Morgan 6-3-21b,Soil Modified Morgan,4.994860683,4.346758216,0.176071323,1.70655087,0.79181036,0.795996918,1.153418445,0.94730874,0.394227612,VT,43.46758216,0.216904103,7.959969183,0.034623615,7.918103599,0.065169577,17.0655087,0.043645802,11.53418445,0.128252607,1.760713227,9.473087401,3.94227612,0.360343097
59,52_2_X2.1,E1.1,NA,6/3/21 17:41,NA,HB Mod Morgan 6-3-21b,Soil Modified Morgan,4.850168182,0.62438697,0.762845738,2.697128488,0.58598783,0.18563268,6.593935229,3.624838753,0.210115065,VT,6.243869698,0.031157034,1.856326797,0.008074497,5.859878303,0.048229451,26.97128488,0.068980268,65.93935229,0.733202583,7.628457382,36.24838753,2.101150654,0.15644125
60,52_2_X2.1,E1.2,NA,6/3/21 17:45,NA,HB Mod Morgan 6-3-21b,Soil Modified Morgan,4.607161673,0.600488408,0.616267647,11.07832142,0.404120258,0.15945176,7.355033299,3.074289195,0.149922072,VT,6.004884077,0.029964491,1.594517604,0.006935701,4.041202585,0.033260927,110.7832142,0.283333029,73.55033299,0.817831723,6.162676472,30.74289195,1.499220721,0.353494148
61,52_2_X2.1,E2,NA,6/3/21 17:52,NA,HB Mod Morgan 6-3-21b,Soil Modified Morgan,4.960859397,0.332102378,0.364102275,1.167024894,0.14426139,0.121533198,6.610203837,2.081868014,0.090936015,VT,3.321023779,0.016571975,1.215331981,0.005286351,1.442613902,0.011873365,11.67024894,0.029847184,66.10203837,0.735011546,3.641022754,20.81868014,0.909360149,0.063578875
62,42_2_V2.1,Oa,NA,6/3/21 17:56,NA,HB Mod Morgan 6-3-21b,Soil Modified Morgan,4.384019583,7.140191799,4.102085908,13.68542102,2.919160324,2.18505625,3.403428089,7.720116591,NA,VT,71.40191799,0.356296996,21.8505625,0.095043769,29.19160324,0.240260109,136.8542102,0.350010768,34.03428089,0.378439002,41.02085908,77.20116591,NA,1.041611642
63,42_2_V2.1,E.1,NA,6/3/21 17:59,NA,HB Mod Morgan 6-3-21b,Soil Modified Morgan,4.654063514,0.834292078,0.876734439,2.530326522,0.495803096,0.221243015,5.303122356,2.612525431,2.862775686,VT,8.342920783,0.041631341,2.212430149,0.009623446,4.958030955,0.040806839,25.30326522,0.064714233,53.03122356,0.589672612,8.767344394,26.12525431,28.62775686,0.156775859
65,42_2_V2.1,E.2,NA,6/3/21 18:07,NA,HB Mod Morgan 6-3-21b,Soil Modified Morgan,4.785019244,0.303522239,0.762326116,1.395852249,0.221569057,0.173291267,10.80829129,2.627871324,0.500567684,VT,3.035222395,0.01514582,1.732912669,0.00753768,2.215690568,0.018236136,13.95852249,0.035699546,108.0829129,1.201811485,7.623261156,26.27871324,5.005676838,0.076619183
66,42_2_V2.1,E.3,NA,6/3/21 18:10,NA,HB Mod Morgan 6-3-21b,Soil Modified Morgan,4.926160422,0.256496113,1.084616347,1.572505411,0.286215605,0.181124242,13.84645187,4.890379531,0.797036452,VT,2.564961127,0.012799207,1.811242424,0.007878392,2.862156045,0.02355684,15.72505411,0.04021753,138.4645187,1.539635123,10.84616347,48.90379531,7.970364517,0.084451969
67,42_2_V2.1,E.4,NA,6/3/21 18:14,NA,HB Mod Morgan 6-3-21b,Soil Modified Morgan,4.693764839,0.279969223,1.028798046,1.477644389,0.237031865,0.153382539,10.05292608,4.231445377,0.797964221,VT,2.799692234,0.01397052,1.533825388,0.006671707,2.370318647,0.019508795,14.77644389,0.037791417,100.5292608,1.117819801,10.28798046,42.31445377,7.979642205,0.077942439
