hid,mean_CaCl2_P,mean_M3_P,mean_MM_P,mean_MM_Ca,mean_MM_K,mean_MM_Mg,mean_MM_Na,mean_MM_Fe,mean_MM_Al,mean_MM_Mn,MM_solution,MM_soil,MM_Ca_mgkg,MM_Ca_cmolkg,MM_Na_mgkg,MM_Na_cmolkg,MM_Mg_mgkg,MM_Mg_cmolkg,MM_K_mgKg,MM_K_cmolkg,MM_Al_mgkg,MM_Al_cmolkg,MM_P_mgkg,M3_P_mgkg,CaCl2_P_mgkg,MM_Fe_mgKg,MM_Mn_mgKg,CEC_cmolkg
WBD31C,0.04843177379352729,1.4137031003650278,0.21375554982710726,3.0837413741885538,0.9678070129099134,0.21375554982710726,0.7898388524430295,1.4182379069748956,36.62078777623992,0.12169894822820762,18,4,13.876836183848495,0.06924568954016215,3.554274835993633,0.015460090630681312,0.9618999742219827,0.007916872215818788,4.355131558094611,0.011138443882594912,164.79354499307965,1.832396719715489,0.9618999742219827,14.137031003650279,0.4843177379352729,6.38207058138703,0.5476452670269344,0.10376109626925717
WBD32C,0.04785370750007382,1.6368881018607095,0.20955092941437026,3.6096689431406754,0.9806226110072721,0.20955092941437026,0.9313511725450923,1.403963339470693,33.606379353440495,0.21410032117945949,18,4,16.243510244133038,0.08105544033998521,4.191080276452915,0.018230014251643827,0.9429791823646662,0.007761145533865565,4.412801749532725,0.011285937978344564,151.22870709048223,1.6815645710579936,0.9429791823646662,16.368881018607095,0.47853707500073817,6.317835027618118,0.9634514453075677,0.11833253810383917
WBD3Bh,0.08514876951106895,0.5107398163329542,0.7951055839207386,5.2746987958140386,3.5192195278309444,0.7951055839207386,1.5122388911628266,25.20738997527602,45.97792560640839,0.08767942070051946,18,4,23.736144581163174,0.11844383523534519,6.80507501023272,0.029600152284613834,3.577975127643324,0.029448354960027356,15.836487875239248,0.040502526535138736,206.90066522883777,2.300600428786187,3.577975127643324,5.107398163329542,0.8514876951106896,113.43325488874208,0.39455739315233757,0.2179948690151251
WBD3Bs1,0.060351991257742967,-0.06831410716642891,0.3531181368047299,6.221970040937169,1.6058794720009055,0.3531181368047299,1.615597042730665,18.375758761619366,67.51595591045444,0.03535589060624206,18,4,27.998865184217262,0.13971489612882865,7.270186692287992,0.03162325659977378,1.5890316156212847,0.013078449511286293,7.226457624004075,0.018481988808194565,303.82180159704495,3.378300240145051,1.5890316156212847,-0.6831410716642892,0.6035199125774297,82.69091442728714,0.15910150772808926,0.20289859104808328
WBD3Bs2,0.07293088231314536,0.04978685347299665,0.2725803262807255,5.231332605915577,1.5196633216469908,0.2725803262807255,1.448625577213278,5.7783797657476255,104.58305288972491,0.314265030390378,18,4,23.540996726620097,0.11747004354600847,6.518815097459751,0.028355002598780998,1.2266114682632647,0.01009556764002687,6.838484947411459,0.017489731323302962,470.6237380037621,5.23302896223605,1.2266114682632647,0.4978685347299665,0.7293088231314536,26.002708945864313,1.414192636756701,0.1734103451081193
WBD3Bs3,0.36675829939711346,0.12055487391594388,0.19723630018049354,4.283933186003187,0.8918589895531028,0.19723630018049354,0.9879998932037998,2.1404525369624716,68.22557909775631,2.137079202316749,18,4,19.277699337014344,0.09619610447611948,4.445999519417099,0.01933884088480687,0.8875633508122209,0.007305048154833094,4.013365452988963,0.01026436177235029,307.0151059399034,3.413807701333247,0.8875633508122209,1.2055487391594388,3.6675829939711346,9.632036416331122,9.61685641042537,0.13310435528810974
WBD3E,0.29597016248129365,0.12161885595698309,0.23576917717711132,4.108330601953051,0.7472114771596718,0.23576917717711132,0.9339722954322807,0.9454416566314079,10.082936838895339,0.02154297459900171,18,4,18.48748770878873,0.09225293267858649,4.202875329445263,0.01828131939732607,1.060961297297001,0.00873219174730042,3.3624516472185233,0.008599620581121542,45.37321577502903,0.5045205608787512,1.060961297297001,1.216188559569831,2.9597016248129364,4.254487454841335,0.09694338569550769,0.1278660644043345
WBD3Oa1.1,0.07694082888052087,0.5499994022132845,1.3715440168865942,9.303764254715132,5.419839738975885,1.3715440168865942,2.5295928319491394,31.232581828349474,33.11387538027461,0.2454900210416403,18,4,41.866939146218094,0.20891686200707632,11.383167743771128,0.04951356130391966,6.171948075989674,0.05079792655135533,24.38927882539148,0.06237667218770199,149.01243921123574,1.6569211179900194,6.171948075989674,5.499994022132845,0.7694082888052087,140.54661822757262,1.1047050946873813,0.3716050220500533
WBD3Oa1.2,0.05073669069209733,0.355021389504933,0.6751704435732524,5.446918341509363,2.796421508242857,0.6751704435732524,1.2905332477475753,33.10962828736574,36.661954913634204,0.17990716508163093,18,4,24.511132536792132,0.12231104060275515,5.807399614864089,0.025260546389143497,3.038266996079636,0.025006312724935274,12.583896787092858,0.03218387925087687,164.9787971113539,1.8344566024242464,3.038266996079636,3.55021389504933,0.5073669069209733,148.99332729314582,0.8095822428673392,0.2047617789677108
WBD3Oa2,NA,1.4302924340622556,1.277890099863413,90.72925576210378,11.974432870891551,1.277890099863413,3.4592436445040775,0.07985996508866136,1.5979094483636171,5.387863577742365e-4,18,4,408.281650929467,2.03733358747239,15.56659640026835,0.06771029317211115,5.75050544938536,0.0473292629579042,53.88494791901198,0.1378131660332787,7.1905925176362775,0.07995469812049233,5.75050544938536,14.302924340622559,NA,0.3593698428989761,0.0024245386099840645,2.290186309635684
WBD42A,0.031000175054755216,0.2811150799445993,2.1901135277869033,17.428733762009962,2.0541157558813103,2.1901135277869033,5.795799597555614,3.2342969922906986,30.97379224724294,4.780128907519554,18,4,78.42930192904484,0.3913637820810621,26.081098189000265,0.11344540317094505,9.855510875041066,0.0811153158439594,9.243520901465896,0.023640718418071343,139.38206511259324,1.549837640243809,9.855510875041066,2.8111507994459926,0.31000175054755214,14.554336465308143,21.510580083837993,0.6095652195140379
WBD4A.1,0.04176442418647251,0.9096101546298931,0.9980871330251296,8.961022621339886,5.333646151414008,0.9980871330251296,2.0326180088164056,3.8671171345537747,45.56481169339908,1.6280061950850229,18,4,40.324601796029484,0.20122056784445852,9.146781039673826,0.03978591143833765,4.491392098613083,0.03696619011204184,24.001407681363037,0.06138467437688756,205.04165262029585,2.2799294212783083,4.491392098613083,9.096101546298932,0.41764424186472515,17.40202710549199,7.326027877882603,0.33935734377172555
WBD4A.2,0.06577095014744218,0.6466588502115012,0.6623626396379253,6.303488515933786,2.9659899029474,0.6623626396379253,1.4946553287085473,3.4702633207610973,56.0615595338637,1.260707133134574,18,4,28.365698321702038,0.1415454008068964,6.725948979188463,0.02925597642100245,2.980631878370664,0.024531949616219455,13.3469545632633,0.03413543366563503,252.27701790238666,2.80515586993017,2.980631878370664,6.466588502115012,0.6577095014744218,15.616184943424939,5.673182099105583,0.22946876050975334
WBD4BC,0.037892972833119654,0.034019044219925874,0.5455403713930758,13.970128623834734,1.1013338250761855,0.5455403713930758,1.733428864683607,0.9123627503576431,45.16850834603563,0.13002347795259345,18,4,62.865578807256306,0.31370049305018116,7.800429891076231,0.03392966459798274,2.4549316712688407,0.020205198940484285,4.956002212842835,0.012675197475301367,203.25828755716034,2.2600995651278017,2.4549316712688407,0.34019044219925876,0.37892972833119654,4.105632376609394,0.5851056507866705,0.38051055406394957
WBD4Bs1,0.05127177370070635,-0.021192527080041806,2.5456783282574205,16.25426423054299,0.9408466752005281,2.5456783282574205,3.0813077179776736,2.604780267648536,10.21731066083067,1.1260386237881737,18,4,73.14418903744345,0.3649909632606959,13.86588473089953,0.060312678255326366,11.455552477158392,0.0942843825280526,4.233810038402377,0.010828158665990736,45.97789797373801,0.5112442324729949,11.455552477158392,-0.21192527080041806,0.5127177370070635,11.721511204418412,5.067173807046782,0.5304161827100656
WBD4Bs2,0.0415706775643596,0.21879324966185282,1.0634889999959922,10.665004951882437,1.0038124046621806,1.0634889999959922,1.8684765855005783,1.5127475308286138,18.614408658631664,0.5613356227640327,18,4,47.99252228347097,0.23948364412909667,8.408144634752603,0.03657305191279949,4.785700499981966,0.03938848148133305,4.517155820979813,0.011552828186649138,83.7648389638425,0.9314103665364251,4.785700499981966,2.187932496618528,0.4157067756435961,6.807363888728763,2.5260103024381473,0.32699800570987836
WBD4Bw,0.05477070631038509,0.14837990508485246,0.5070371532305417,5.182366705413271,1.2345706826176988,0.5070371532305417,1.0692157298187261,2.365467350429239,54.631323041012706,0.5129598994074009,18,4,23.32065017435972,0.1163705098520944,4.811470784184268,0.02092853755626041,2.281667189537438,0.0187791538233534,5.555568071779645,0.014208613994321342,245.84095368455718,2.7335910342982634,2.281667189537438,1.4837990508485246,0.5477070631038509,10.644603076931576,2.308319547333304,0.17028681522602956
WBD4C,0.0503166169097853,0.2243398320997383,1.24697556802183,7.7543564821674,0.9136909504847717,1.24697556802183,1.901924821574478,0.5196610820500056,31.698800071201532,0.25629907866257506,18,4,34.89460416975331,0.17412477130615425,8.558661697085153,0.037227758578012846,5.611390056098235,0.046184280297104814,4.111609277181472,0.010515624749824736,142.64460032040688,1.5861149034885864,5.611390056098235,2.243398320997383,0.50316616909785306,2.338474869225025,1.1533458539815877,0.26805243493109665
